,cluster-0,cluster-1,cluster-2,cluster-3,cluster-4,cluster-5,cluster-6,cluster-7,cluster-8,cluster-9,cluster-10,cluster-11,cluster-12,cluster-13,cluster-14,cluster-15
cured,0,4,1,4,1,1,0,0,0,1,0,0,0,1,0,1
non_cured,4,11,7,11,3,0,5,1,1,1,3,8,7,6,1,4
