,cluster-0,cluster-1,cluster-2,cluster-3,cluster-4,cluster-5,cluster-6,cluster-7,cluster-8,cluster-9,cluster-10,cluster-11,cluster-12,cluster-13,cluster-14,cluster-15
cured,1,0,0,1,1,1,1,0,0,2,1,0,2,1,1,2
non_cured,4,5,5,4,4,5,4,5,5,3,5,6,4,5,5,4
