,cluster-0,cluster-1,cluster-2,cluster-3,cluster-4,cluster-5,cluster-6,cluster-7,cluster-8,cluster-9,cluster-10,cluster-11,cluster-12,cluster-13,cluster-14,cluster-15
cured,1,0,1,0,1,0,1,6,1,0,0,2,0,0,1,0
non_cured,3,2,13,1,1,3,1,30,0,1,4,7,1,1,3,2
